Screen_Time_Hours,Social_Media_Hours,Gaming_Hours,Sleep_Hours,Study_Work_Hours,Notifications_Per_Day,Phone_Pickups,WellBeing_Status
2.9,5.4,3.7,7.2,8.4,138.0,133.0,Moderate
9.7,5.9,4.0,8.8,5.9,52.0,108.0,HighRisk
2.8,5.0,2.6,6.2,8.6,158.0,67.0,Moderate
5.0,6.6,2.2,5.4,6.0,139.0,152.0,HighRisk
2.2,4.5,4.1,6.9,8.4,146.0,90.0,Moderate
3.9,3.0,1.1,7.8,6.1,,119.0,Moderate
7.0,2.3,4.8,7.4,4.8,196.0,83.0,HighRisk
8.1,6.6,0.5,7.2,5.6,176.0,109.0,HighRisk
7.1,1.8,3.7,5.0,7.3,114.0,25.0,HighRisk
5.0,1.0,4.9,5.7,4.8,191.0,54.0,HighRisk
8.1,5.1,,6.6,2.3,158.0,52.0,HighRisk
9.2,3.6,0.1,6.8,1.6,165.0,81.0,HighRisk
9.5,,4.3,5.3,5.4,51.0,82.0,HighRisk
6.7,3.8,3.8,5.3,1.5,60.0,98.0,HighRisk
6.5,2.1,3.7,4.8,8.3,51.0,89.0,HighRisk
5.6,4.1,4.7,5.3,,94.0,59.0,HighRisk
2.8,,3.4,8.2,1.4,152.0,104.0,HighRisk
5.5,0.9,0.9,8.2,5.7,,171.0,Healthy
5.7,6.1,0.5,8.8,2.1,,15.0,HighRisk
4.5,6.9,0.1,5.9,5.8,131.0,151.0,Moderate
8.2,7.0,1.6,5.9,1.6,151.0,158.0,HighRisk
2.8,1.7,1.3,6.8,6.9,159.0,151.0,Healthy
5.6,4.8,2.0,8.5,8.3,66.0,155.0,Moderate
8.5,5.1,2.3,6.2,1.7,130.0,61.0,HighRisk
7.4,0.8,1.0,6.7,4.5,93.0,72.0,Moderate
4.7,6.8,1.5,7.3,6.5,113.0,141.0,Moderate
5.3,2.4,1.6,5.2,5.6,94.0,26.0,Moderate
5.0,5.4,1.0,7.1,6.2,136.0,151.0,Moderate
7.3,2.4,2.1,6.0,5.8,,40.0,HighRisk
5.4,6.4,0.7,7.6,8.3,85.0,123.0,Moderate
3.2,1.2,1.2,6.8,6.2,,121.0,Healthy
8.1,1.2,4.4,5.0,8.2,44.0,33.0,HighRisk
6.7,5.0,1.8,7.0,7.7,170.0,32.0,HighRisk
6.0,,4.3,5.1,8.1,92.0,14.0,HighRisk
6.8,3.0,,5.4,,170.0,121.0,HighRisk
4.8,4.9,1.3,5.1,2.4,93.0,46.0,HighRisk
7.4,2.8,2.9,8.2,4.8,198.0,83.0,HighRisk
,6.7,1.1,5.4,8.3,147.0,87.0,HighRisk
6.7,1.8,0.0,6.6,2.9,150.0,37.0,Moderate
3.5,5.4,0.0,5.4,7.8,64.0,,Moderate
,0.7,4.3,4.5,4.8,72.0,140.0,HighRisk
4.7,6.5,2.3,5.6,5.9,184.0,115.0,HighRisk
8.2,1.4,1.1,7.3,3.2,185.0,118.0,HighRisk
9.9,3.5,2.6,7.4,,110.0,106.0,HighRisk
9.2,6.6,2.5,8.5,5.0,47.0,160.0,HighRisk
8.3,5.9,0.9,,5.0,83.0,62.0,HighRisk
9.7,4.5,0.9,4.5,5.0,88.0,34.0,HighRisk
3.8,,,6.7,7.2,187.0,44.0,Healthy
5.5,7.0,0.3,5.0,2.3,21.0,93.0,HighRisk
7.3,6.8,4.5,6.5,1.6,36.0,116.0,HighRisk
2.2,,2.6,6.5,6.8,129.0,175.0,Moderate
9.5,2.7,0.9,,8.8,128.0,173.0,HighRisk
9.6,4.5,0.0,,6.4,165.0,61.0,Moderate
4.7,6.2,3.6,5.9,7.4,165.0,127.0,HighRisk
6.4,6.6,2.2,7.0,7.2,47.0,59.0,HighRisk
5.6,6.5,3.3,7.7,8.7,178.0,176.0,HighRisk
9.0,7.0,3.4,,2.4,105.0,113.0,HighRisk
7.9,2.7,0.6,,6.3,58.0,42.0,HighRisk
5.9,6.2,4.1,7.7,7.9,66.0,112.0,HighRisk
2.1,3.6,0.1,7.0,2.9,,46.0,Moderate
3.6,5.8,0.9,6.0,1.1,70.0,49.0,HighRisk
7.8,4.9,,4.8,5.5,118.0,67.0,HighRisk
2.4,0.9,3.9,7.6,4.5,,103.0,Moderate
6.8,4.1,2.9,8.3,5.2,58.0,100.0,HighRisk
2.9,2.9,4.3,6.2,7.9,150.0,62.0,Moderate
8.8,,1.4,5.2,6.5,123.0,13.0,HighRisk
3.2,2.6,3.6,5.4,3.6,137.0,120.0,HighRisk
8.0,6.7,0.4,6.7,8.2,190.0,34.0,HighRisk
,6.6,1.2,8.4,7.5,31.0,59.0,Moderate
2.4,0.7,1.7,4.6,6.2,170.0,44.0,Moderate
9.1,6.8,4.7,7.8,4.0,173.0,63.0,HighRisk
2.1,6.0,4.6,7.2,1.1,68.0,63.0,HighRisk
7.9,,1.5,7.9,,55.0,22.0,HighRisk
5.9,0.8,,6.8,5.2,124.0,71.0,Moderate
3.8,5.2,4.6,7.2,5.6,80.0,,HighRisk
6.9,2.2,0.3,7.6,6.4,123.0,66.0,Moderate
7.7,4.8,2.3,4.9,4.1,82.0,166.0,HighRisk
9.8,3.4,,6.2,6.9,196.0,,HighRisk
8.0,,0.5,8.3,4.2,23.0,88.0,Moderate
2.5,0.8,3.6,5.3,1.6,69.0,40.0,HighRisk
5.6,3.5,3.5,5.5,7.0,36.0,135.0,HighRisk
9.8,6.7,,8.5,4.2,114.0,105.0,HighRisk
8.0,5.4,4.4,6.6,5.7,165.0,34.0,HighRisk
6.0,5.0,1.3,4.8,5.1,154.0,,HighRisk
5.0,3.5,3.0,4.7,7.0,99.0,165.0,HighRisk
,2.6,4.8,5.3,,75.0,115.0,Moderate
6.1,5.6,4.7,4.7,4.6,21.0,,HighRisk
7.2,2.2,0.9,7.7,1.1,153.0,119.0,HighRisk
3.2,5.0,1.8,5.4,1.7,183.0,37.0,HighRisk
,1.5,4.7,8.6,6.6,80.0,45.0,HighRisk
3.0,6.3,2.5,8.9,7.4,52.0,,Moderate
5.3,3.4,2.4,6.7,7.7,186.0,72.0,Moderate
2.7,0.9,1.8,8.2,6.9,99.0,157.0,Healthy
3.4,2.8,3.1,5.4,3.1,27.0,101.0,HighRisk
6.8,5.9,3.6,8.6,3.8,60.0,100.0,HighRisk
2.6,6.0,2.6,7.7,1.5,192.0,89.0,HighRisk
6.7,1.3,,7.2,3.7,124.0,125.0,Moderate
6.7,6.0,4.3,4.8,6.2,77.0,172.0,HighRisk
3.1,6.2,4.3,5.1,8.1,,65.0,HighRisk
8.4,1.6,0.3,7.4,3.7,46.0,15.0,Moderate
3.0,6.1,2.9,8.3,5.5,148.0,40.0,Moderate
3.8,5.8,1.0,8.6,,36.0,33.0,Moderate
7.2,2.8,4.2,,7.4,23.0,87.0,HighRisk
3.4,3.9,0.5,6.8,2.8,132.0,54.0,Moderate
9.9,6.1,2.0,4.7,4.3,176.0,90.0,HighRisk
8.7,2.2,1.8,8.6,4.0,70.0,,HighRisk
4.9,,2.1,6.7,2.7,39.0,143.0,Moderate
6.7,1.6,2.2,,6.0,45.0,88.0,Moderate
7.0,5.9,1.9,6.4,5.7,127.0,96.0,HighRisk
,3.5,2.9,5.8,4.6,123.0,44.0,Moderate
7.3,4.3,4.7,6.9,5.9,39.0,38.0,HighRisk
4.1,6.1,2.3,8.4,1.1,195.0,157.0,HighRisk
,4.1,0.2,5.9,8.7,63.0,48.0,Moderate
7.6,5.9,0.2,7.3,3.0,94.0,103.0,HighRisk
4.6,5.1,1.9,6.1,8.1,,134.0,Moderate
2.2,5.0,4.2,,5.7,54.0,146.0,Moderate
4.0,3.2,2.4,,2.2,74.0,49.0,Moderate
,4.7,3.2,4.9,2.1,161.0,30.0,HighRisk
2.8,3.9,0.0,8.0,5.5,181.0,73.0,Healthy
,6.4,4.1,6.7,3.0,38.0,,HighRisk
5.5,3.1,2.9,5.8,1.2,61.0,82.0,HighRisk
3.5,1.1,3.9,6.9,1.2,135.0,165.0,HighRisk
5.5,1.9,1.9,5.7,5.9,87.0,46.0,Moderate
9.8,2.8,3.9,8.2,1.7,40.0,95.0,HighRisk
5.2,6.3,4.4,6.4,7.3,138.0,95.0,HighRisk
4.1,,3.3,5.8,7.7,162.0,163.0,HighRisk
6.9,0.5,0.7,7.9,2.8,68.0,78.0,Moderate
4.6,2.3,1.8,6.9,4.8,72.0,,Moderate
6.0,4.6,0.8,7.1,,132.0,179.0,Moderate
4.6,4.9,0.1,,3.9,24.0,62.0,Moderate
5.8,0.7,4.6,4.9,1.6,183.0,24.0,HighRisk
5.1,4.4,2.2,7.0,3.6,64.0,45.0,HighRisk
9.9,4.6,1.8,5.7,3.0,72.0,116.0,HighRisk
6.4,4.3,3.3,4.6,5.6,53.0,,HighRisk
9.4,2.0,0.2,8.8,5.5,177.0,101.0,Moderate
4.6,3.0,3.8,5.7,8.6,66.0,180.0,Moderate
9.1,5.9,4.6,5.3,8.8,131.0,35.0,HighRisk
9.4,1.4,3.1,8.3,7.3,59.0,60.0,Moderate
,2.6,2.1,6.0,1.7,125.0,44.0,Moderate
4.4,1.4,4.5,5.3,7.6,78.0,128.0,Moderate
9.1,3.4,0.4,4.7,4.0,70.0,34.0,HighRisk
9.6,6.4,2.6,8.8,3.7,179.0,139.0,HighRisk
2.3,2.0,4.7,,6.1,59.0,83.0,Moderate
2.3,4.1,2.2,7.2,6.4,88.0,71.0,Moderate
4.3,2.0,4.1,5.6,7.8,102.0,160.0,Moderate
7.1,3.0,,8.5,3.5,88.0,121.0,HighRisk
4.4,3.7,1.7,7.5,3.7,126.0,,Moderate
9.2,2.4,3.0,6.8,3.1,70.0,104.0,HighRisk
2.6,3.8,1.6,6.1,7.7,101.0,36.0,Moderate
4.5,2.6,1.8,7.6,3.7,72.0,168.0,Moderate
7.0,2.4,3.3,5.0,5.1,171.0,53.0,HighRisk
7.2,,4.0,8.1,8.0,39.0,90.0,HighRisk
,2.1,4.4,6.7,2.1,117.0,101.0,HighRisk
8.5,3.3,3.6,5.0,2.0,,107.0,HighRisk
3.9,6.1,4.3,5.1,3.5,140.0,148.0,HighRisk
,5.4,2.7,4.7,6.7,152.0,33.0,HighRisk
3.7,5.8,4.6,7.3,6.9,188.0,136.0,HighRisk
3.0,1.0,3.9,,1.1,39.0,117.0,HighRisk
5.8,4.7,1.1,6.4,3.8,78.0,28.0,HighRisk
10.0,3.0,1.7,7.3,3.4,,62.0,HighRisk
8.6,4.8,0.0,7.9,4.5,36.0,33.0,HighRisk
8.0,,1.1,6.0,8.7,83.0,11.0,HighRisk
8.5,4.7,1.1,7.1,,149.0,137.0,HighRisk
7.5,0.8,2.8,4.7,7.3,39.0,87.0,HighRisk
2.5,6.2,,6.3,2.4,161.0,163.0,HighRisk
7.3,2.5,2.3,4.6,3.7,164.0,171.0,HighRisk
4.1,4.2,1.3,7.4,5.6,132.0,104.0,Moderate
4.8,7.0,0.6,7.4,8.7,121.0,136.0,Moderate
5.4,4.9,4.1,6.4,8.9,120.0,51.0,HighRisk
2.6,1.8,1.6,8.1,2.5,189.0,32.0,Moderate
4.5,5.2,2.8,8.9,4.8,113.0,177.0,Moderate
5.5,2.7,3.0,8.3,2.9,123.0,55.0,Moderate
7.9,6.8,1.1,,6.6,30.0,62.0,HighRisk
9.0,2.7,3.4,6.3,8.2,160.0,10.0,HighRisk
7.7,6.1,4.0,8.9,4.2,121.0,35.0,HighRisk
8.5,6.1,0.0,7.7,4.4,21.0,19.0,HighRisk
9.0,3.7,0.0,5.3,2.0,166.0,121.0,HighRisk
5.6,2.7,0.0,5.8,6.3,,169.0,Moderate
8.5,3.3,4.0,8.4,1.6,22.0,125.0,HighRisk
9.6,1.2,2.8,4.6,1.9,,86.0,HighRisk
2.4,5.0,3.8,8.8,5.2,100.0,33.0,Moderate
3.0,6.3,4.4,8.4,2.8,191.0,98.0,HighRisk
7.5,4.9,3.5,6.4,3.4,119.0,53.0,HighRisk
4.2,4.3,2.7,5.3,7.1,143.0,116.0,Moderate
3.0,5.2,3.1,,1.4,49.0,179.0,HighRisk
2.7,4.4,,7.6,4.0,92.0,75.0,Moderate
3.5,4.7,4.9,6.7,,114.0,90.0,HighRisk
3.5,4.2,2.6,7.0,6.5,198.0,167.0,Moderate
3.7,0.5,0.9,8.3,6.2,169.0,130.0,Healthy
2.3,2.1,3.6,,5.3,143.0,164.0,Moderate
3.3,3.2,2.6,7.9,2.1,35.0,172.0,Moderate
9.4,5.4,1.5,5.6,3.6,159.0,42.0,HighRisk
5.9,6.0,0.4,8.6,3.8,24.0,88.0,Moderate
3.5,0.7,1.1,6.4,1.1,,131.0,Moderate
3.5,6.2,3.6,7.9,5.9,196.0,80.0,Moderate
5.6,6.8,2.6,8.1,,166.0,164.0,HighRisk
4.5,4.1,1.5,6.7,1.2,127.0,14.0,HighRisk
8.1,6.2,1.4,8.9,2.4,,83.0,HighRisk
9.0,1.2,0.2,8.7,6.2,92.0,158.0,Moderate
7.4,0.8,1.8,5.6,8.5,165.0,112.0,Moderate
2.6,3.2,1.9,5.2,6.9,49.0,13.0,Moderate
5.8,3.2,1.2,7.2,5.7,100.0,153.0,Moderate
9.2,5.4,3.2,6.4,2.9,72.0,14.0,HighRisk
3.7,6.1,0.6,5.0,1.2,162.0,17.0,HighRisk
2.0,6.5,4.9,5.6,1.3,,93.0,HighRisk
6.3,4.7,3.0,8.3,,45.0,33.0,HighRisk
9.3,5.6,1.1,4.6,2.9,192.0,123.0,HighRisk
8.4,6.6,2.8,4.7,7.8,90.0,52.0,HighRisk
5.9,4.6,3.9,5.7,4.4,54.0,39.0,HighRisk
2.2,2.7,1.5,8.8,8.2,58.0,58.0,Healthy
2.9,6.7,,5.4,7.7,178.0,110.0,HighRisk
6.5,1.2,4.9,4.5,7.5,115.0,68.0,HighRisk
6.8,2.7,1.9,4.9,,160.0,23.0,HighRisk
5.8,5.7,2.1,6.8,5.0,107.0,116.0,HighRisk
4.3,1.6,3.1,8.7,3.1,146.0,31.0,Moderate
8.8,3.1,4.2,5.4,5.1,144.0,125.0,HighRisk
5.1,0.6,0.4,6.6,1.2,197.0,52.0,Moderate
4.5,1.2,2.3,5.0,2.5,122.0,164.0,HighRisk
5.5,5.0,4.8,5.1,3.9,96.0,157.0,HighRisk
2.8,4.7,4.2,5.0,7.9,121.0,158.0,HighRisk
6.1,6.7,2.5,7.9,8.6,162.0,51.0,HighRisk
9.3,6.6,1.6,8.8,4.5,27.0,10.0,HighRisk
4.6,2.7,2.5,5.5,2.3,130.0,129.0,HighRisk
2.5,6.9,4.9,8.5,7.1,69.0,36.0,Moderate
9.6,5.4,1.1,5.4,3.2,80.0,74.0,HighRisk
6.5,2.1,,8.0,1.4,132.0,86.0,HighRisk
4.9,0.7,3.6,7.2,4.7,122.0,93.0,Moderate
4.1,6.4,2.3,7.8,4.7,82.0,127.0,HighRisk
2.2,5.7,3.5,5.0,,114.0,102.0,HighRisk
5.9,6.5,3.6,4.9,7.9,193.0,180.0,HighRisk
6.2,1.0,2.6,5.5,2.8,62.0,125.0,HighRisk
9.9,3.6,3.5,8.2,2.9,35.0,153.0,HighRisk
,3.2,3.5,6.5,7.7,74.0,119.0,HighRisk
6.7,5.0,3.4,8.7,6.9,144.0,177.0,HighRisk
6.9,4.2,2.5,,3.9,21.0,169.0,HighRisk
8.0,,3.9,7.6,,182.0,164.0,Moderate
5.2,2.7,3.9,7.9,,26.0,96.0,Moderate
9.0,,3.9,5.9,4.9,68.0,13.0,HighRisk
4.2,,3.5,,8.9,76.0,150.0,Moderate
6.8,0.9,0.0,8.4,3.3,167.0,31.0,Moderate
6.2,3.1,2.3,7.1,5.1,123.0,74.0,Moderate
4.7,4.2,4.3,6.1,3.2,,35.0,HighRisk
4.6,6.4,3.0,7.8,1.2,,174.0,HighRisk
5.2,3.2,0.3,8.1,5.5,89.0,95.0,Moderate
7.4,5.0,1.7,6.6,5.6,112.0,39.0,HighRisk
2.4,0.9,2.6,7.3,2.9,199.0,92.0,Moderate
8.5,6.1,2.3,8.2,6.3,38.0,61.0,HighRisk
9.5,4.0,,5.2,6.6,78.0,137.0,HighRisk
4.4,2.9,3.1,8.5,3.1,181.0,169.0,Moderate
4.6,4.7,5.0,5.3,7.5,181.0,13.0,HighRisk
5.2,5.7,2.5,5.5,5.2,75.0,52.0,HighRisk
8.7,4.4,0.8,5.0,4.8,192.0,83.0,HighRisk
9.7,0.7,2.9,7.3,1.1,44.0,98.0,HighRisk
4.1,4.7,1.1,4.9,3.0,76.0,116.0,HighRisk
9.6,3.6,4.8,5.9,1.5,142.0,88.0,HighRisk
3.8,6.7,2.4,5.4,2.5,165.0,16.0,HighRisk
2.7,3.0,1.7,6.4,6.0,105.0,27.0,Moderate
5.8,6.1,1.1,6.0,6.1,142.0,110.0,HighRisk
8.4,5.8,1.4,5.7,2.7,28.0,,HighRisk
4.1,6.9,2.0,5.9,8.5,197.0,92.0,HighRisk
3.3,5.6,2.1,5.0,3.6,20.0,103.0,HighRisk
4.9,2.1,2.7,7.5,3.5,135.0,10.0,Moderate
6.0,2.0,3.4,6.6,2.2,102.0,175.0,HighRisk
6.8,0.9,4.9,5.4,8.9,186.0,120.0,HighRisk
,4.6,0.5,5.7,4.1,188.0,64.0,HighRisk
6.8,2.5,0.4,7.6,4.7,180.0,17.0,Moderate
9.5,5.5,1.6,8.9,8.8,41.0,48.0,HighRisk
8.1,2.0,0.6,8.0,5.6,39.0,121.0,Moderate
9.7,,1.0,6.9,7.4,101.0,148.0,HighRisk
3.4,0.6,3.7,5.7,2.5,200.0,12.0,Moderate
8.6,5.7,0.3,,4.6,114.0,69.0,HighRisk
2.3,1.5,2.1,8.9,1.3,145.0,57.0,Moderate
3.2,6.3,2.0,6.6,6.2,129.0,79.0,Moderate
6.3,4.3,4.1,6.4,8.2,138.0,27.0,HighRisk
4.3,5.2,3.5,5.2,8.2,116.0,64.0,HighRisk
3.7,4.5,3.4,8.4,5.1,192.0,89.0,Moderate
2.8,2.8,0.1,6.2,1.3,156.0,106.0,Moderate
3.2,5.1,0.2,5.8,8.4,41.0,130.0,Moderate
3.2,,,5.8,2.5,154.0,110.0,HighRisk
6.4,5.8,2.1,5.5,1.2,99.0,142.0,HighRisk
2.5,5.8,1.7,8.2,8.6,83.0,54.0,Moderate
8.8,4.1,2.6,8.8,4.4,124.0,104.0,HighRisk
9.6,2.8,3.1,8.5,2.1,129.0,104.0,HighRisk
6.9,4.1,3.8,5.3,7.4,174.0,136.0,HighRisk
2.2,3.9,1.1,6.4,1.5,117.0,53.0,Moderate
5.8,5.2,4.3,8.5,1.3,46.0,90.0,HighRisk
9.7,6.0,4.4,6.1,6.7,132.0,10.0,HighRisk
6.6,5.8,1.7,8.2,,127.0,136.0,Moderate
5.2,1.0,2.8,6.3,,196.0,28.0,Moderate
7.3,3.4,1.8,8.7,4.1,186.0,167.0,Moderate
9.9,2.9,4.2,4.8,5.0,139.0,173.0,HighRisk
4.1,5.3,3.2,4.8,3.3,186.0,136.0,HighRisk
7.2,3.3,0.0,7.2,1.9,102.0,27.0,HighRisk
7.9,5.1,0.1,6.3,4.4,77.0,154.0,HighRisk
6.8,3.0,0.1,,5.3,179.0,32.0,Moderate
7.7,3.5,0.5,6.4,1.5,36.0,89.0,HighRisk
,6.7,4.3,4.6,2.0,146.0,137.0,HighRisk
2.8,3.5,4.3,6.2,4.3,102.0,37.0,HighRisk
2.9,2.9,4.4,5.2,5.9,29.0,92.0,Moderate
3.6,,3.3,,2.2,81.0,91.0,HighRisk
9.3,4.6,3.0,5.2,2.7,27.0,134.0,HighRisk
2.5,6.4,2.1,7.5,4.7,99.0,167.0,Moderate
7.4,6.0,0.7,,5.4,81.0,56.0,HighRisk
4.6,5.2,3.0,5.9,5.7,108.0,103.0,HighRisk
2.1,2.0,2.1,7.6,8.4,58.0,148.0,Healthy
2.8,5.3,3.5,7.4,7.5,110.0,85.0,Moderate
7.9,5.1,2.2,4.6,7.4,65.0,25.0,HighRisk
4.8,5.5,4.7,,7.0,116.0,73.0,HighRisk
6.4,1.1,0.8,6.1,5.7,56.0,44.0,Moderate
7.9,2.6,1.7,7.5,2.1,53.0,38.0,HighRisk
9.4,3.3,0.4,6.7,6.7,170.0,142.0,HighRisk
2.0,2.1,2.3,6.1,5.2,108.0,24.0,Moderate
9.4,2.7,3.7,7.5,3.4,88.0,102.0,HighRisk
5.8,6.3,0.5,5.5,4.9,143.0,115.0,HighRisk
,5.1,2.8,4.9,4.1,168.0,78.0,HighRisk
6.6,1.1,1.9,8.1,6.7,38.0,161.0,Moderate
7.9,6.1,0.7,6.7,2.6,52.0,92.0,HighRisk
4.4,6.6,0.9,6.6,5.0,25.0,31.0,HighRisk
3.0,2.9,3.9,7.8,2.5,146.0,82.0,Moderate
2.5,5.2,4.6,6.4,3.1,158.0,150.0,HighRisk
8.6,2.1,3.2,5.8,6.9,143.0,107.0,HighRisk
5.2,5.6,1.0,5.0,6.0,198.0,117.0,HighRisk
9.6,2.2,2.1,6.3,7.8,137.0,124.0,HighRisk
7.0,6.4,1.0,8.9,8.0,163.0,123.0,Moderate
3.5,2.0,3.4,5.4,5.9,97.0,180.0,Moderate
3.4,4.7,2.1,6.0,2.2,161.0,126.0,HighRisk
6.6,5.1,0.8,8.8,7.2,70.0,36.0,Moderate
9.4,1.7,3.4,6.0,5.6,180.0,128.0,HighRisk
5.4,1.1,0.1,5.1,1.3,109.0,59.0,HighRisk
4.2,5.8,3.3,9.0,,105.0,14.0,HighRisk
8.5,0.5,2.5,4.9,2.2,198.0,127.0,HighRisk
7.6,3.7,2.1,7.5,1.4,73.0,103.0,HighRisk
9.8,,2.3,6.5,5.5,165.0,109.0,HighRisk
6.1,2.7,1.4,7.7,5.3,35.0,178.0,Moderate
8.5,3.9,3.6,4.5,6.7,138.0,75.0,HighRisk
8.3,1.2,1.3,4.9,8.7,47.0,28.0,Moderate
4.5,1.9,0.5,8.9,5.7,163.0,73.0,Healthy
8.4,,4.3,4.9,5.7,23.0,102.0,HighRisk
2.1,4.4,1.8,8.5,7.6,148.0,157.0,Healthy
10.0,5.8,0.7,7.5,1.7,99.0,10.0,HighRisk
7.8,0.9,2.6,7.0,,,96.0,Moderate
9.2,2.1,2.2,6.9,3.8,89.0,62.0,HighRisk
9.8,4.1,3.4,5.2,2.2,56.0,55.0,HighRisk
5.4,6.5,0.6,9.0,3.4,55.0,86.0,HighRisk
6.3,2.0,0.2,4.8,4.2,167.0,93.0,Moderate
7.5,4.7,4.8,8.5,4.4,,,HighRisk
7.8,,2.4,5.1,6.0,67.0,71.0,HighRisk
8.7,,0.2,4.9,7.2,98.0,,Moderate
4.2,1.9,4.8,6.7,8.3,121.0,174.0,Moderate
8.1,6.3,2.5,8.0,2.3,123.0,76.0,HighRisk
8.5,3.7,4.9,5.6,1.6,111.0,141.0,HighRisk
6.0,2.8,2.2,8.7,1.4,90.0,,HighRisk
3.8,5.9,2.9,6.7,5.8,192.0,60.0,HighRisk
8.4,4.3,4.2,7.2,2.4,29.0,26.0,HighRisk
7.7,6.2,2.3,4.7,3.3,188.0,141.0,HighRisk
9.5,4.9,,8.8,7.2,84.0,64.0,HighRisk
,3.9,4.5,6.1,1.7,149.0,134.0,HighRisk
5.0,4.3,1.4,8.6,1.9,154.0,30.0,HighRisk
3.6,3.7,4.3,8.8,3.8,83.0,85.0,Moderate
5.2,1.2,1.1,5.8,,119.0,120.0,Moderate
7.4,2.3,4.3,7.6,8.4,180.0,149.0,HighRisk
8.1,3.0,1.9,8.6,4.7,41.0,89.0,Moderate
8.6,0.9,0.1,8.8,4.2,137.0,10.0,Moderate
6.9,6.0,3.1,6.0,1.1,73.0,117.0,HighRisk
2.4,6.4,3.6,5.9,6.4,200.0,73.0,HighRisk
2.2,1.4,3.4,8.8,7.6,180.0,91.0,Healthy
4.4,1.4,2.4,,1.7,167.0,22.0,Moderate
9.5,2.7,1.8,7.7,4.9,104.0,16.0,HighRisk
5.7,2.9,2.0,8.0,1.8,72.0,119.0,HighRisk
5.6,1.5,1.1,6.5,8.6,102.0,32.0,Moderate
6.0,1.3,4.7,7.8,6.9,31.0,83.0,Moderate
7.3,1.9,4.8,4.6,7.9,65.0,58.0,HighRisk
3.7,4.0,4.2,,6.0,55.0,74.0,Moderate
,4.7,3.9,7.2,8.4,115.0,119.0,HighRisk
8.7,4.7,2.9,,1.2,126.0,10.0,HighRisk
7.0,1.0,3.1,5.7,3.3,93.0,115.0,HighRisk
7.9,5.8,4.7,6.9,8.2,111.0,128.0,HighRisk
4.8,2.6,1.0,7.5,8.1,98.0,,Moderate
6.6,5.0,4.1,7.0,6.3,142.0,135.0,HighRisk
8.0,5.0,4.6,4.6,1.5,91.0,17.0,HighRisk
4.3,3.1,4.2,7.3,7.0,90.0,128.0,Moderate
8.5,4.2,0.1,7.9,7.0,155.0,151.0,Moderate
2.3,3.4,2.0,7.2,5.2,,44.0,Moderate
3.5,6.1,1.0,7.1,4.9,20.0,111.0,Moderate
9.5,1.8,0.0,7.3,1.5,105.0,161.0,HighRisk
6.8,4.8,0.2,8.8,5.0,43.0,39.0,Moderate
8.7,1.9,,7.4,1.6,127.0,12.0,HighRisk
9.5,2.0,2.0,7.8,4.9,165.0,102.0,HighRisk
8.1,6.4,2.2,5.2,2.9,78.0,,HighRisk
9.7,4.0,1.5,6.1,7.2,97.0,11.0,HighRisk
9.5,0.6,0.5,5.1,2.8,113.0,164.0,HighRisk
8.6,3.8,3.3,8.4,1.9,162.0,43.0,HighRisk
4.6,4.6,2.5,6.0,2.6,128.0,82.0,HighRisk
9.5,5.2,4.3,7.7,8.5,193.0,141.0,HighRisk
6.6,4.3,2.5,8.1,4.0,169.0,16.0,HighRisk
2.9,2.6,1.8,4.9,6.9,58.0,108.0,Moderate
3.6,5.2,2.1,5.0,7.4,86.0,23.0,Moderate
4.5,1.5,2.3,7.8,4.2,112.0,88.0,Moderate
7.3,1.4,2.1,6.9,3.6,166.0,153.0,HighRisk
8.3,6.7,3.3,6.7,2.1,66.0,176.0,HighRisk
4.0,2.7,0.0,8.5,2.1,172.0,122.0,Moderate
8.5,1.7,3.5,6.8,4.7,105.0,90.0,HighRisk
7.4,4.6,4.0,4.6,,138.0,,HighRisk
9.5,5.0,4.0,8.9,2.3,89.0,75.0,HighRisk
9.0,3.1,1.9,5.4,4.9,50.0,47.0,HighRisk
8.7,7.0,1.8,5.2,1.5,168.0,175.0,HighRisk
8.0,6.4,0.3,8.8,3.9,105.0,17.0,HighRisk
2.8,5.1,1.9,7.1,7.9,166.0,100.0,Moderate
9.5,2.8,1.2,7.6,1.7,50.0,62.0,HighRisk
6.5,3.0,2.1,4.6,6.7,20.0,130.0,HighRisk
4.5,2.4,3.9,5.5,6.2,104.0,170.0,Moderate
4.9,4.9,,8.7,5.2,49.0,161.0,Moderate
7.3,5.8,3.2,6.8,5.6,119.0,66.0,HighRisk
7.1,5.4,2.0,7.1,5.7,68.0,33.0,HighRisk
9.0,6.8,0.2,4.5,3.0,174.0,46.0,HighRisk
8.4,1.3,2.6,8.6,2.1,36.0,85.0,HighRisk
8.0,6.4,3.0,6.8,4.7,191.0,13.0,HighRisk
5.7,1.7,3.4,,1.4,137.0,67.0,HighRisk
8.4,2.0,4.1,7.7,6.0,31.0,120.0,HighRisk
4.2,3.6,1.2,5.2,5.7,127.0,43.0,Moderate
5.5,5.3,3.5,6.5,7.0,52.0,71.0,HighRisk
4.2,4.5,,5.9,2.3,165.0,147.0,HighRisk
3.6,0.7,0.8,7.8,2.2,114.0,,Moderate
8.7,3.4,0.4,7.2,5.1,,,HighRisk
8.6,4.3,2.8,6.5,5.4,98.0,39.0,HighRisk
9.0,1.9,,8.1,4.4,114.0,31.0,HighRisk
7.1,5.0,1.3,8.2,4.2,114.0,125.0,HighRisk
